business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
82563,Noriega Produce LLC,3821 Noriega St,San Francisco,CA,94122,,,,14155560370,82563_20180515,5/15/18 0:00,92,Routine - Unscheduled,82563_20180515_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
83572,Cathay Express Restaurant,720 14th St,San Francisco,CA,94114,,,,14155433229,83572_20180515,5/15/18 0:00,87,Routine - Unscheduled,83572_20180515_103103,High risk food holding temperature,High Risk
35805,Hard Knox Cafe,2448 Clement,San Francisco,CA,94121,37.782008,-122.485732,"(37.782008, -122.485732)",,35805_20180514,5/14/18 0:00,90,Routine - Unscheduled,35805_20180514_103145,Improper storage of equipment utensils or linens,Low Risk
27377,Sorabol,845 Market St FC-3,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",14155775959,27377_20180514,5/14/18 0:00,87,Routine - Unscheduled,27377_20180514_103103,High risk food holding temperature,High Risk
93993,7 Eleven #2366-36486H,195 Pine St,San Francisco,CA,94111,,,,,93993_20180511,5/11/18 0:00,86,Routine - Unscheduled,93993_20180511_103154,Unclean or degraded floors walls or ceilings,Low Risk
93080,The Organic Coup,455 Market St.,San Francisco,CA,94105,,,,,93080_20180511,5/11/18 0:00,90,Routine - Unscheduled,93080_20180511_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
86301,Cafe Murano,2301 Bryant St,San Francisco,CA,94110,,,,14155815501,86301_20180511,5/11/18 0:00,96,Routine - Unscheduled,86301_20180511_103145,Improper storage of equipment utensils or linens,Low Risk
3490,Morton's Chicago Steakhouse,404 Post St,San Francisco,CA,94102,37.78833,-122.408525,"(37.78833, -122.408525)",,3490_20180510,5/10/18 0:00,100,Routine - Unscheduled,,,
95,Vega,419 CORTLAND Ave,San Francisco,CA,94110,37.739207,-122.417447,"(37.739207, -122.417447)",,95_20180509,5/9/18 0:00,92,Routine - Unscheduled,95_20180509_103154,Unclean or degraded floors walls or ceilings,Low Risk
6643,T & L FOOD MARKET,405 EDDY St,San Francisco,CA,94109,37.783661,-122.414341,"(37.783661, -122.414341)",,6643_20180509,5/9/18 0:00,71,Routine - Unscheduled,6643_20180509_103131,Moderate risk vermin infestation,Moderate Risk
67448,Soo Fong Restaurant,3801 03rd St 370,San Francisco,CA,94124,37.741829,-122.388098,"(37.741829, -122.388098)",,67448_20180507,5/7/18 0:00,92,Routine - Unscheduled,67448_20180507_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
1280,AMASIA HIDE'S SUSHI BAR,149 NOE St,San Francisco,CA,94114,37.766774,-122.433306,"(37.766774, -122.433306)",,1280_20180327,3/27/18 0:00,92,Routine - Unscheduled,1280_20180327_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
95401,Blue Fog Market,2567 Gough St,San Francisco,CA,94123,,,,,95401_20180327,3/27/18 0:00,,New Ownership,,,
80494,Tap (415),845 Market St #495,San Francisco,CA,94103,,,,,80494_20180227,2/27/18 0:00,93,Routine - Unscheduled,80494_20180227_103114,High risk vermin infestation,High Risk
13671,AFC SUSHI @SAFEWAY 2606,298 KING STREET,San Francisco,CA,94107,37.776491,-122.394175,"(37.776491, -122.394175)",,13671_20180227,2/27/18 0:00,89,Routine - Unscheduled,13671_20180227_103102,Unclean hands or improper use of gloves,High Risk
1146,Aux Delices Vietnam,2327 Polk St,San Francisco,CA,94109,37.798274,-122.422264,"(37.798274, -122.422264)",,1146_20180223,2/23/18 0:00,77,Routine - Unscheduled,1146_20180223_103103,High risk food holding temperature,High Risk
77566,GreenSurge,2301 Market St,San Francisco,CA,94114,,,,14155814131,77566_20180223,2/23/18 0:00,90,Routine - Unscheduled,77566_20180223_103177,Non service animal,Low Risk
72164,Modern Thai Inc.,1247 Polk St,San Francisco,CA,94109,,,,,72164_20180223,2/23/18 0:00,,Reinspection/Followup,,,
3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,3838_20180222,2/22/18 0:00,72,Routine - Unscheduled,3838_20180222_103142,Unclean nonfood contact surfaces,Low Risk
67754,Joy Hing BBQ Noodles House,710 Kearny St,San Francisco,CA,94108,37.794597,-122.404777,"(37.794597, -122.404777)",,67754_20180213,2/13/18 0:00,,Reinspection/Followup,67754_20180213_103143,Inadequate warewashing facilities or equipment,Low Risk
